   1.7000000e+01
  -1.0000000e+00   5.0000400e+00   4.7999925e+01   9.6999960e+01
  -8.7451000e-01   2.2568520e+01   8.1882285e+01   1.4405894e+02
  -7.4902000e-01   4.1666745e+01   1.1347067e+02   1.7786276e+02
  -6.2352900e-01   6.3000045e+01   1.4170579e+02   1.9229422e+02
  -4.9803900e-01   1.0727442e+02   1.7249016e+02   2.0876468e+02
  -3.7254900e-01   1.5464704e+02   2.0139211e+02   2.2447063e+02
  -2.4705900e-01   1.9417638e+02   2.2147056e+02   2.3576459e+02
  -1.2156900e-01   2.2390198e+02   2.3605885e+02   2.4274521e+02
   3.9215700e-03   2.4711769e+02   2.4645087e+02   2.4605894e+02
   1.2941200e-01   2.5088226e+02   2.2888239e+02   2.1594114e+02
   2.5490200e-01   2.5052934e+02   2.0417646e+02   1.8005882e+02
   3.8039200e-01   2.4488237e+02   1.7029410e+02   1.3676466e+02
   5.0588200e-01   2.2811765e+02   1.2847053e+02   1.0194109e+02
   6.3137300e-01   2.0835285e+02   8.4705900e+01   7.1666730e+01
   7.5686300e-01   1.8576470e+02   3.9529335e+01   5.0333430e+01
   8.8235300e-01   1.4711766e+02   1.4117565e+01   3.8058750e+01
   1.0000000e+00   1.0300011e+02   0.0000000e+00   3.1000095e+01
